
=================================================================================================================================
IPv4 Statistics/All Addresses:
Topic / Item      Count         Average       Min Val       Max Val       Rate (ms)     Percent       Burst Rate    Burst Start  
---------------------------------------------------------------------------------------------------------------------------------
All Addresses     2184                                                    0,0397        100%          0,1700        152,792      
 169.118.239.183  9                                                       0,0002        0,41%         0,0200        148,226      
 168.254.211.216  4                                                       0,0001        0,18%         0,0200        176,916      
 168.21.124.208   4                                                       0,0001        0,18%         0,0200        177,146      
 168.175.131.187  9                                                       0,0002        0,41%         0,0200        152,861      
 167.29.78.71     6                                                       0,0001        0,27%         0,0200        171,071      
 167.29.249.248   9                                                       0,0002        0,41%         0,0200        143,831      
 167.188.133.120  4                                                       0,0001        0,18%         0,0200        179,548      
 167.170.135.53   9                                                       0,0002        0,41%         0,0200        143,762      
 167.13.24.65     4                                                       0,0001        0,18%         0,0200        175,698      
 166.8.244.207    6                                                       0,0001        0,27%         0,0200        169,997      
 165.242.194.35   9                                                       0,0002        0,41%         0,0200        148,585      
 165.207.48.55    7                                                       0,0001        0,32%         0,0200        154,967      
 165.16.16.54     7                                                       0,0001        0,32%         0,0200        157,238      
 165.16.0.173     4                                                       0,0001        0,18%         0,0200        177,201      
 164.77.175.134   6                                                       0,0001        0,27%         0,0200        173,447      
 164.58.16.51     9                                                       0,0002        0,41%         0,0200        145,532      
 164.253.67.234   9                                                       0,0002        0,41%         0,0200        145,462      
 164.253.194.241  7                                                       0,0001        0,32%         0,0200        157,401      
 164.202.4.13     7                                                       0,0001        0,32%         0,0200        153,020      
 164.139.97.52    7                                                       0,0001        0,32%         0,0200        158,378      
 163.222.56.96    7                                                       0,0001        0,32%         0,0200        151,325      
 163.222.114.40   7                                                       0,0001        0,32%         0,0200        169,442      
 163.171.88.173   7                                                       0,0001        0,32%         0,0200        169,140      
 162.182.25.195   7                                                       0,0001        0,32%         0,0200        169,159      
 161.186.108.45   4                                                       0,0001        0,18%         0,0200        175,824      
 161.169.131.147  4                                                       0,0001        0,18%         0,0200        179,525      
 161.169.101.158  6                                                       0,0001        0,27%         0,0200        159,759      
 160.153.177.202  9                                                       0,0002        0,41%         0,0200        145,545      
 159.69.103.185   7                                                       0,0001        0,32%         0,0200        154,071      
 159.48.5.80      7                                                       0,0001        0,32%         0,0200        157,366      
 159.3.100.71     7                                                       0,0001        0,32%         0,0200        157,251      
 159.254.80.132   7                                                       0,0001        0,32%         0,0200        169,418      
 159.170.22.30    9                                                       0,0002        0,41%         0,0200        177,872      
